회사명,지역,직무,링크
주식회사 메드고,서울,개발 QA 채용 연계형 인턴,https://kr.indeed.com/company/%EC%A3%BC%EC%8B%9D%ED%9A%8C%EC%82%AC-%EB%A9%94%EB%93%9C%EA%B3%A0/jobs/%EA%B0%9C%EB%B0%9C-QA-%EC%97%B0%EA%B3%84%ED%98%95-%EC%9D%B8%ED%84%B4-8393ab473ffbae7c?fccid=846826ff65cb5294&vjs=3
유한회사 미소,서울,[외국계 스타트업 미소] Data Analyst,https://kr.indeed.com/rc/clk?jk=ec5c7ccd76639120&fccid=02936474a8d39137&vjs=3
휴먼앤,성남 분당구,(3200만이상/분당)만도연구소 소프트웨어 개발/검증 연구보조,https://kr.indeed.com/rc/clk?jk=84610059d3552ef1&fccid=9e33daf2a0f7b19b&vjs=3
인이지,성남 분당구,"[INEEJI] (주)인이지 (AI연구소, 기술컨설팅팀)",https://kr.indeed.com/rc/clk?jk=1fe85141d8352c24&fccid=8a0714879bbe4b76&vjs=3
잔디소프트,서울 영등포구,[잔디소프트] 개발툴 프로그래머 신입/경력 정규직,https://kr.indeed.com/rc/clk?jk=36371d8269d02021&fccid=370651ffb8b8be7b&vjs=3
기아,서울 서초구,Infra Engineering,https://kr.indeed.com/rc/clk?jk=361d42ddd7495b1d&fccid=4407ef3f1668028b&vjs=3
NHN,성남 판교역,페이코 데이터 사이언티스트,https://kr.indeed.com/rc/clk?jk=91599c97ad418418&fccid=a72ebaf825acf7af&vjs=3
MOLOCO,서울,Machine Learning Engineer Intern - Korea,https://kr.indeed.com/rc/clk?jk=69d3cc2cca262747&fccid=27317bcae2b26fe5&vjs=3
위메프,대한민국,[위메프서비스] Data Analyst,https://kr.indeed.com/rc/clk?jk=4d97a642f3075204&fccid=2f8799a5ef214646&vjs=3
시니어앤파트너즈,서울 강남구,[선릉역] 데이터분석/연구자,https://kr.indeed.com/rc/clk?jk=1d9dae71a975d084&fccid=59060ddcdf96b101&vjs=3
엘세븐시큐리티,서울 송파구,딥러닝 통한 인공지능 솔루션 신입/경력 개발자,https://kr.indeed.com/rc/clk?jk=972c302b4b4cb1df&fccid=72880ee98034ba13&vjs=3
그린랩스,서울 송파구,[그린랩스파이낸셜] DBA (Database Administration),https://kr.indeed.com/rc/clk?jk=564e0ddaeee0144f&fccid=feeacbc1377594e2&vjs=3
현대자동차그룹,서울 강남구,"[TaaS] Data Scientist[연구원, 책임연구원]",https://kr.indeed.com/rc/clk?jk=67b03ffab1c536ba&fccid=980d6ecc399a3373&vjs=3
카카오,성남 판교역,모니터링 솔루션 개발자 모집,https://kr.indeed.com/rc/clk?jk=e99d30a8f6947b41&fccid=2952458d506281b4&vjs=3
한국퀀텀컴퓨팅,부산 해운대구,부문별 전문인력,https://kr.indeed.com/rc/clk?jk=c189ba847e5c506a&fccid=dd616958bd9ddc12&vjs=3
엔씨소프트,성남 판교역,인프라 자동화를 위한 개발자 모집,https://kr.indeed.com/rc/clk?jk=edc9ca53f0a25498&fccid=a1e4e21b1f33cf40&vjs=3
여의도사람들,서울 영등포구,"데이터베이스개발자, 웹개발 신입/경력 정규직",https://kr.indeed.com/rc/clk?jk=e91b5984e7f5d3fd&fccid=298f56956b7c691f&vjs=3
엔아이티서비스,성남 분당구,[네이버계열사][NIT Service] 네이버 파이낸셜 플랫폼 운영,https://kr.indeed.com/rc/clk?jk=e19fb1c3800e2abc&fccid=d389f1042b660837&vjs=3
현대자동차그룹,서울 양재역,Data Engineering[책임매니저(G3)],https://kr.indeed.com/rc/clk?jk=2227849edfa12196&fccid=980d6ecc399a3373&vjs=3
하이브,서울 용산구,[HYBE] 데이터분석,https://kr.indeed.com/rc/clk?jk=d67a27d5fe57ede4&fccid=55c46c15186153ee&vjs=3
BOB네트웍스,성남 분당구,[제약] 신약 분자설계 연구(선임/책임),https://kr.indeed.com/rc/clk?jk=14d5f070330861c8&fccid=6c389097acd73020&vjs=3
엔셀,성남 분당구,[내일드림데이] 엔셀주식회사 SW개발자(솔루션/Web/풀스택),https://kr.indeed.com/rc/clk?jk=cb4029a170a5e94c&fccid=c59ef9b756f9ad5c&vjs=3
Nexon,경기도 성남,[인텔리전스랩스] 데이터 분석가 (게임/서비스 밸류에이션),https://kr.indeed.com/rc/clk?jk=b52414f39cfeecda&fccid=aba87288e4cc3687&vjs=3
휴먼교육센터,서울 영등포구 외,[전액무료] IT취업 자바/파이썬/인공지능/빅데이터 교육생 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40762228?Oem_Code=C1&logpath=1&stext=python&listno=1
㈜핸디소프트,경기 안양시,[개발자채용] Python 신입/경력 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40787061?Oem_Code=C1&logpath=1&stext=python&listno=2
㈜포이시스,서울 금천구 외,"[본사/대구] Java / Python 활용 / Android/ios/ 금융솔루션 개발자 채용 공고(경력, 신입)",https://www.jobkorea.co.kr/Recruit/GI_Read/40818902?Oem_Code=C1&logpath=1&stext=python&listno=3
(주)이컴라인,서울 영등포구,"2.[여의도] 파이썬, 은행, 금융, 운영, 개발, 유지보수, 부동산, SM, python, 파이선",https://www.jobkorea.co.kr/Recruit/GI_Read/40751870?Oem_Code=C1&logpath=1&stext=python&listno=4
한국직업전문학교,서울 구로구,"의료-빅데이터 자바(java) 파이썬 S/W 개발자 양성과정(스프링, 풀스택, 시각화)연수생모집",https://www.jobkorea.co.kr/Recruit/GI_Read/40650578?Oem_Code=C1&logpath=1&stext=python&listno=5
한국직업전문학교,서울 구로구,"친환경-빅데이터 자바(java) 파이썬 S/W 개발자 양성과정(스프링, 풀스택, 시각화)연수생모집",https://www.jobkorea.co.kr/Recruit/GI_Read/40650516?Oem_Code=C1&logpath=1&stext=python&listno=6
현대오토에버㈜,서울 강남구 외,"시스템 개발/운영 부문 경력채용(Vue.js, Python, MySQL)",https://www.jobkorea.co.kr/Recruit/GI_Read/40626928?Oem_Code=C1&logpath=1&stext=python&listno=7
㈜인피닉,서울 강남구,연구소 JAVA / PYTHON 신입 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40577269?Oem_Code=C1&logpath=1&stext=python&listno=8
㈜코난테크놀로지,서울 서초구,Python 개발자 (ML/DL 개발) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40558776?Oem_Code=C1&logpath=1&stext=python&listno=9
㈜위대한상상,서울 서초구 외,[Python] Backend Developer (Python/Tech Lead/10년이상),https://www.jobkorea.co.kr/Recruit/GI_Read/40556621?Oem_Code=C1&logpath=1&stext=python&listno=10
한국직업전문학교,서울 구로구,"빅데이터 플랫폼 응용 SW개발자 양성 과정 (Java, Python) 교육과정 강사모집",https://www.jobkorea.co.kr/Recruit/GI_Read/40482281?Oem_Code=C1&logpath=1&stext=python&listno=11
오상자이엘 ㈜,인천 부평구,"프로그래머(JAVA, Python, Oracle SQL) 및 PL, PM 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/40381323?Oem_Code=C1&logpath=1&stext=python&listno=12
교육지대㈜,서울 구로구,TechLab Python 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40080614?Oem_Code=C1&logpath=1&stext=python&listno=13
㈜이글루코퍼레이션,서울 송파구,연구소 IT개발(서버/백엔드/프론트엔드/Python/웹 퍼블리셔/QA 엔지니어) 대규모 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40706033?Oem_Code=C1&logpath=1&stext=python&listno=14
㈜유니포유,경기 수원시 외,기흥 테라타워 삼성전자 반도체 Python AI 모델 개발 데이터사이언스 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40903079?Oem_Code=C1&logpath=1&stext=python&listno=15
㈜유니포유,경기 수원시 외,삼성전자 DS 기흥 SCM UI Python 개발자 구인,https://www.jobkorea.co.kr/Recruit/GI_Read/40903078?Oem_Code=C1&logpath=1&stext=python&listno=16
이수정보㈜,서울 중랑구 외,[기흥] OO기업 시스템 구축/운영 (python/중급),https://www.jobkorea.co.kr/Recruit/GI_Read/40902191?Oem_Code=C1&logpath=1&stext=python&listno=17
㈜버블콘,서울 구로구,[입사축하금 150만 지급](주)버블콘 백엔드 개발자(python) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40897607?Oem_Code=C1&logpath=1&stext=python&listno=18
㈜우영씨앤씨,서울 금천구 외,"[국민은행] JAVA/Vue/Python/뱅킹,부동산,자산운용",https://www.jobkorea.co.kr/Recruit/GI_Read/40896439?Oem_Code=C1&logpath=1&stext=python&listno=19
㈜제이투이,서울 중구,"[JAVA SM 금융 을지로] OO카드 비정형 데이터 분석 플랫폼 개발/운영 Python SpringBoot 장기, JAVA 개발 JAVA 유지보수 JAVA 운영 JAVA 고급 JAVA 금융 JAVA 프리랜서 JAVA 을지로 광화문 동대문 시청......(3)",https://www.jobkorea.co.kr/Recruit/GI_Read/40894604?Oem_Code=C1&logpath=1&stext=python&listno=20
휴먼교육센터,서울 영등포구 외,[전액무료] IT취업 자바/파이썬/인공지능/빅데이터 교육생 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40762228?Oem_Code=C1&logpath=1&stext=python&listno=1
㈜핸디소프트,경기 안양시,[개발자채용] Python 신입/경력 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40787061?Oem_Code=C1&logpath=1&stext=python&listno=2
㈜포이시스,서울 금천구 외,"[본사/대구] Java / Python 활용 / Android/ios/ 금융솔루션 개발자 채용 공고(경력, 신입)",https://www.jobkorea.co.kr/Recruit/GI_Read/40818902?Oem_Code=C1&logpath=1&stext=python&listno=3
(주)이컴라인,서울 영등포구,"2.[여의도] 파이썬, 은행, 금융, 운영, 개발, 유지보수, 부동산, SM, python, 파이선",https://www.jobkorea.co.kr/Recruit/GI_Read/40751870?Oem_Code=C1&logpath=1&stext=python&listno=4
한국직업전문학교,서울 구로구,"의료-빅데이터 자바(java) 파이썬 S/W 개발자 양성과정(스프링, 풀스택, 시각화)연수생모집",https://www.jobkorea.co.kr/Recruit/GI_Read/40650578?Oem_Code=C1&logpath=1&stext=python&listno=5
한국직업전문학교,서울 구로구,"친환경-빅데이터 자바(java) 파이썬 S/W 개발자 양성과정(스프링, 풀스택, 시각화)연수생모집",https://www.jobkorea.co.kr/Recruit/GI_Read/40650516?Oem_Code=C1&logpath=1&stext=python&listno=6
현대오토에버㈜,서울 강남구 외,"시스템 개발/운영 부문 경력채용(Vue.js, Python, MySQL)",https://www.jobkorea.co.kr/Recruit/GI_Read/40626928?Oem_Code=C1&logpath=1&stext=python&listno=7
㈜인피닉,서울 강남구,연구소 JAVA / PYTHON 신입 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40577269?Oem_Code=C1&logpath=1&stext=python&listno=8
㈜코난테크놀로지,서울 서초구,Python 개발자 (ML/DL 개발) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40558776?Oem_Code=C1&logpath=1&stext=python&listno=9
㈜위대한상상,서울 서초구 외,[Python] Backend Developer (Python/Tech Lead/10년이상),https://www.jobkorea.co.kr/Recruit/GI_Read/40556621?Oem_Code=C1&logpath=1&stext=python&listno=10
한국직업전문학교,서울 구로구,"빅데이터 플랫폼 응용 SW개발자 양성 과정 (Java, Python) 교육과정 강사모집",https://www.jobkorea.co.kr/Recruit/GI_Read/40482281?Oem_Code=C1&logpath=1&stext=python&listno=11
오상자이엘 ㈜,인천 부평구,"프로그래머(JAVA, Python, Oracle SQL) 및 PL, PM 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/40381323?Oem_Code=C1&logpath=1&stext=python&listno=12
교육지대㈜,서울 구로구,TechLab Python 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40080614?Oem_Code=C1&logpath=1&stext=python&listno=13
㈜이글루코퍼레이션,서울 송파구,연구소 IT개발(서버/백엔드/프론트엔드/Python/웹 퍼블리셔/QA 엔지니어) 대규모 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40706033?Oem_Code=C1&logpath=1&stext=python&listno=14
㈜유니포유,경기 수원시 외,기흥 테라타워 삼성전자 반도체 Python AI 모델 개발 데이터사이언스 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40903079?Oem_Code=C1&logpath=1&stext=python&listno=15
㈜유니포유,경기 수원시 외,삼성전자 DS 기흥 SCM UI Python 개발자 구인,https://www.jobkorea.co.kr/Recruit/GI_Read/40903078?Oem_Code=C1&logpath=1&stext=python&listno=16
이수정보㈜,서울 중랑구 외,[기흥] OO기업 시스템 구축/운영 (python/중급),https://www.jobkorea.co.kr/Recruit/GI_Read/40902191?Oem_Code=C1&logpath=1&stext=python&listno=17
㈜버블콘,서울 구로구,[입사축하금 150만 지급](주)버블콘 백엔드 개발자(python) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40897607?Oem_Code=C1&logpath=1&stext=python&listno=18
㈜우영씨앤씨,서울 금천구 외,"[국민은행] JAVA/Vue/Python/뱅킹,부동산,자산운용",https://www.jobkorea.co.kr/Recruit/GI_Read/40896439?Oem_Code=C1&logpath=1&stext=python&listno=19
㈜제이투이,서울 중구,"[JAVA SM 금융 을지로] OO카드 비정형 데이터 분석 플랫폼 개발/운영 Python SpringBoot 장기, JAVA 개발 JAVA 유지보수 JAVA 운영 JAVA 고급 JAVA 금융 JAVA 프리랜서 JAVA 을지로 광화문 동대문 시청......(3)",https://www.jobkorea.co.kr/Recruit/GI_Read/40894604?Oem_Code=C1&logpath=1&stext=python&listno=20
㈜제이투이,서울 중구,"[JAVA SM 금융 을지로] OO카드 백오피스 개발 및 운영 JAVA Python 4개월(추후 연장), JAVA 운영 JAVA 유지보수 JAVA 개발 JAVA 고급 JAVA 프리랜서 JAVA 을지로 시청 광화문 동대문......(1)",https://www.jobkorea.co.kr/Recruit/GI_Read/40894430?Oem_Code=C1&logpath=1&stext=python&listno=21
㈜아이티사람들,경기 용인시,"[ 초긴급,,, (Python & JAVA)개발자 - 기흥 ]",https://www.jobkorea.co.kr/Recruit/GI_Read/40893783?Oem_Code=C1&logpath=1&stext=python&listno=22
㈜청아아이티,경기 용인시,"기흥 삼성전자 시스템 구축 Python, Java 경험자를 모집 합니다. (01)",https://www.jobkorea.co.kr/Recruit/GI_Read/40892384?Oem_Code=C1&logpath=1&stext=python&listno=23
루먼랩㈜,서울 송파구,"[루먼랩 주식회사] 백엔드(Python, NodeJS, NestJS) 개발자 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/40891129?Oem_Code=C1&logpath=1&stext=python&listno=24
인천구월그린컴퓨터아트학원,인천 남동구 외,저녁주말 JAVA / 파이썬 강사님을 모집합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/40888505?Oem_Code=C1&logpath=1&stext=python&listno=25
㈜디랩 동탄아카데미,서울 서초구 외,파이썬 데이터분석 프리랜서 강사 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40887867?Oem_Code=C1&logpath=1&stext=python&listno=26
푸른IT,경기 용인시,기흥 S대기업 장기 프로젝트 ( 파이썬 개발자 ) 즉시투입 연단위 계약,https://www.jobkorea.co.kr/Recruit/GI_Read/40866105?Oem_Code=C1&logpath=1&stext=python&listno=27
㈜연세교육아카데미,경기 수원시 외,"[연세IT미래교육원]자바,파이썬 등 IT프로그래밍 교사 채용(전임/시간강사 포함)",https://www.jobkorea.co.kr/Recruit/GI_Read/40881109?Oem_Code=C1&logpath=1&stext=python&listno=28
㈜연세교육아카데미,경기 수원시 외,"[연세IT미래교육원]KDT,빅데이터 교사 채용(자바,파이썬,DB,AI,머신러닝,딥러닝 등)",https://www.jobkorea.co.kr/Recruit/GI_Read/40881098?Oem_Code=C1&logpath=1&stext=python&listno=29
㈜케이텍,경북 포항시 외,"프로그램 개발자 모집(Machine Vision, AI(Python), C, C#, C++)",https://www.jobkorea.co.kr/Recruit/GI_Read/40875544?Oem_Code=C1&logpath=1&stext=python&listno=30
㈜이루웰,서울 강남구,프로그래머 모집 파이썬 프로그램개발 사이트개발/유지보수 서버관리등,https://www.jobkorea.co.kr/Recruit/GI_Read/40870861?Oem_Code=C1&logpath=1&stext=python&listno=31
맨파워코리아,서울 서초구,"업계상위 외국계 S사 DB Developer (리눅스,C,C++,SQL, Python)",https://www.jobkorea.co.kr/Recruit/GI_Read/40860002?Oem_Code=C1&logpath=1&stext=python&listno=32
이컴라인,서울 마포구,"12.[공덕역] 리눅스, linux, python, 파이썬, 파이선",https://www.jobkorea.co.kr/Recruit/GI_Read/40854946?Oem_Code=C1&logpath=1&stext=python&listno=33
㈜하이미디어컴퓨터디자인학원,경기 고양시 외,하이미디어컴퓨터디자인학원(일산점) java강사를 모십니다(Java & Python을 활용한 빅데이터 서비스 개발자 양성 과정)),https://www.jobkorea.co.kr/Recruit/GI_Read/40846025?Oem_Code=C1&logpath=1&stext=python&listno=34
트리플랜㈜,서울 영등포구,"SI(은행.부동산데이타허브,개발및운영)/즉시-연단위/고급,2명/python/여의도.전경련회관/",https://www.jobkorea.co.kr/Recruit/GI_Read/40844501?Oem_Code=C1&logpath=1&stext=python&listno=35
㈜피앤아이컨설팅,경기 용인시,"[기흥] 반도체 빅 데이터 플랫폼 개발 - java, python",https://www.jobkorea.co.kr/Recruit/GI_Read/40844443?Oem_Code=C1&logpath=1&stext=python&listno=36
오앤,서울 강서구,"[신입/경력] 파이썬, 루비를 다룰줄 아는 당신이 필요합니다.",https://www.jobkorea.co.kr/Recruit/GI_Read/40841304?Oem_Code=C1&logpath=1&stext=python&listno=37
그린컴퓨터아카데미 의정부점,경기 의정부시,자바/파이썬 기반 빅데이터 개발자 종합반 강의하실 강사님 모십니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/40834481?Oem_Code=C1&logpath=1&stext=python&listno=38
㈜상상할수없는,서울 영등포구 외,파이썬 개발자 모집 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40829570?Oem_Code=C1&logpath=1&stext=python&listno=39
송파여성인력개발센터,서울 송파구,Python 교육강사 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40826925?Oem_Code=C1&logpath=1&stext=python&listno=40
㈜인라이플,서울 구로구 외,[주4.5일근무] Python 개발직무 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40823706?Oem_Code=C1&logpath=1&stext=python&listno=41
피에로컴퍼니,서울 용산구 외,"O2O 플랫폼 웹(백엔드) 개발자 python, django 인턴 정규직 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/40821579?Oem_Code=C1&logpath=1&stext=python&listno=42
온아이티시스템,서울 구로구 외,Python 운영/개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40818016?Oem_Code=C1&logpath=1&stext=python&listno=43
누리꿈소프트㈜,서울 종로구,"[경력자] 데이터시각화 개발자 채용(Python,Spotfire)",https://www.jobkorea.co.kr/Recruit/GI_Read/40817293?Oem_Code=C1&logpath=1&stext=python&listno=44
㈜위존 강남사업장,서울 강남구,[경력] Solution/SW 웹개발자 채용 - JAVA/SPRING/Python,https://www.jobkorea.co.kr/Recruit/GI_Read/40814934?Oem_Code=C1&logpath=1&stext=python&listno=45
㈜티엔블루,서울 서초구,"[서초구,우면동] Python 중급이상 2명  시스템 운영",https://www.jobkorea.co.kr/Recruit/GI_Read/40814226?Oem_Code=C1&logpath=1&stext=python&listno=46
㈜포디아이비젼,서울 서초구 외,OpenCV/MATLAB/TensorFlow/Python/C/C++/Linux 알고리즘 개발 (팀원)(팀장),https://www.jobkorea.co.kr/Recruit/GI_Read/40809250?Oem_Code=C1&logpath=1&stext=python&listno=47
인천직업전문학교,인천 미추홀구,자바/파이썬/프로그램개발 훈련교사(강사) 채용(경력자우대),https://www.jobkorea.co.kr/Recruit/GI_Read/40808978?Oem_Code=C1&logpath=1&stext=python&listno=48
스토미시스템㈜,서울 금천구,파이선 PYTHON 개발 앱개발 가산디지털 근무 5개월 중급이상,https://www.jobkorea.co.kr/Recruit/GI_Read/40808795?Oem_Code=C1&logpath=1&stext=python&listno=49
㈜허그랩,서울 영등포구,[백엔드] 파이썬 Django 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40804335?Oem_Code=C1&logpath=1&stext=python&listno=50
인텍솔루션㈜,경기 용인시,"제조) 생산SCM업무 UI개발 - Python, R, Javascript [ 기흥 / 중,고급 ]",https://www.jobkorea.co.kr/Recruit/GI_Read/40798014?Oem_Code=C1&logpath=1&stext=python&listno=51
㈜에코마린,부산 해운대구,"Python, 데이터 분석, 응용프로그램 개발",https://www.jobkorea.co.kr/Recruit/GI_Read/40795215?Oem_Code=C1&logpath=1&stext=python&listno=52
누리꿈소프트㈜,서울 강남구 외,[가산디지탈] AWS환경의 Python백엔드 개발자를 구인합니다(즉시부터 4월말),https://www.jobkorea.co.kr/Recruit/GI_Read/40781020?Oem_Code=C1&logpath=1&stext=python&listno=53
이맥스정보기술,부산 사상구,"AI 개발자(python, django 유경험자) 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/40777455?Oem_Code=C1&logpath=1&stext=python&listno=54
㈜포그리트,경기 성남시,[포그리트]Backend (Python) 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40775121?Oem_Code=C1&logpath=1&stext=python&listno=55
㈜이너프유,서울 영등포구 외,[이너프 영양관리 앱] 백엔드 개발자 모십니다(Python/Django).,https://www.jobkorea.co.kr/Recruit/GI_Read/40774206?Oem_Code=C1&logpath=1&stext=python&listno=56
(유)지니집코리아,서울 중구,WEB/Python/개발자 채용 (미국영주권스폰),https://www.jobkorea.co.kr/Recruit/GI_Read/40767866?Oem_Code=C1&logpath=1&stext=python&listno=57
㈜피디정보통신,서울 강남구,Python Back-End 프로그래머 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40760915?Oem_Code=C1&logpath=1&stext=python&listno=58
㈜팀벨,서울 강남구,"자사 솔루션 개발자 모집(Linux, Python개발자)",https://www.jobkorea.co.kr/Recruit/GI_Read/40759298?Oem_Code=C1&logpath=1&stext=python&listno=59
㈜지에스아이오토모티브,대전 유성구,python Data 전처리 업무 담당자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40755563?Oem_Code=C1&logpath=1&stext=python&listno=60
이젠아이티(IT)아카데미학원,서울 서초구 외,"기업출강 강사 구인(파이썬, R, 머신러닝, 딥러닝, 자연어 처리)",https://www.jobkorea.co.kr/Recruit/GI_Read/40748270?Oem_Code=C1&logpath=1&stext=python&listno=61
미래융합교육원,대전 서구,"인공지능, 빅데이터, IoT 분야 (자바,파이썬) 강사 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/40744100?Oem_Code=C1&logpath=1&stext=python&listno=62
㈜제스엔지니어링,서울 금천구,[채용] C# S/W or Python 개발자 경력 우대(사원주임대리과장급),https://www.jobkorea.co.kr/Recruit/GI_Read/40730009?Oem_Code=C1&logpath=1&stext=python&listno=63
㈜로보그램,경기 수원시,교육용 SW개발에 참여할 초급개발자(파이썬.opencv.텐서플로우가능)를 찾습니다,https://www.jobkorea.co.kr/Recruit/GI_Read/40728760?Oem_Code=C1&logpath=1&stext=python&listno=64
㈜컨셉터스,서울 강남구,빅데이터 플랫폼 SW/데이터엔지니어(JAVA/Python) 신입/경력직 개발자 채용.,https://www.jobkorea.co.kr/Recruit/GI_Read/40726555?Oem_Code=C1&logpath=1&stext=python&listno=65
㈜펫이지,서울 종로구 외,개발자(PHP/Python/My SQL 등) 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40723986?Oem_Code=C1&logpath=1&stext=python&listno=66
㈜연세교육아카데미,경기 수원시 외,[국비무료 IT취업교육]웹개발/게임제작/자바/파이썬/빅데이터/정보보안 교육생 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40713786?Oem_Code=C1&logpath=1&stext=python&listno=67
마이스터정보기술㈜,서울 중구 외,"(공덕)XX증권 빌드시스템 개발(python, jenkins )",https://www.jobkorea.co.kr/Recruit/GI_Read/40697177?Oem_Code=C1&logpath=1&stext=python&listno=68
굿에이치알,서울 강남구 외,[방배] Senior  Backend Engineer - Python,https://www.jobkorea.co.kr/Recruit/GI_Read/40688261?Oem_Code=C1&logpath=1&stext=python&listno=69
행복쇼핑 주식회사,서울 영등포구,"REACT, PHP,  PYTHON 개발자 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/40687832?Oem_Code=C1&logpath=1&stext=python&listno=70
에스티엔인포텍,경기 광명시,"[경력] Web 개발/서버 개발자 모집(SpringBoot,, Java, Python)",https://www.jobkorea.co.kr/Recruit/GI_Read/40686358?Oem_Code=C1&logpath=1&stext=python&listno=71
㈜에이시지알,서울 용산구,"[경력] 풀스택 (Javascript/React, Node.js/Python) 개발자 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/40680283?Oem_Code=C1&logpath=1&stext=python&listno=72
㈜유스바이오글로벌,서울 구로구 외,의료영상 개발자 모집(Python),https://www.jobkorea.co.kr/Recruit/GI_Read/40679767?Oem_Code=C1&logpath=1&stext=python&listno=73
㈜블루인터내셔널,경기 수원시 외,"[내일채움공제] PYTHON 개발자 (자동화,크롤링 개발) 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/40679744?Oem_Code=C1&logpath=1&stext=python&listno=74
㈜바이브컴퍼니,서울 용산구,[바이브컴퍼니] 파이썬 개발자 모집(신입),https://www.jobkorea.co.kr/Recruit/GI_Read/40678193?Oem_Code=C1&logpath=1&stext=python&listno=75
이젠아카데미컴퓨터학원,서울 종로구 외,파이썬 저녁반/주말반(2월개강) 강사님을 모십니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/40678130?Oem_Code=C1&logpath=1&stext=python&listno=76
㈔스마트융합기술인재개발원,대구 수성구 외,"UI/UX, 웹퍼블리셔, 자바 웹프로그래밍, 파이썬, R,  빅 데이터, AI, 안드로이드, 클라우드 강사 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/40659604?Oem_Code=C1&logpath=1&stext=python&listno=77
㈜샌즈랩,서울 강남구,Python 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40636597?Oem_Code=C1&logpath=1&stext=python&listno=78
이젠아이티(IT)아카데미학원,서울 서초구 외,주말 파이썬 프로그래밍 강사 구인,https://www.jobkorea.co.kr/Recruit/GI_Read/40634796?Oem_Code=C1&logpath=1&stext=python&listno=79
탐시스텍,경기 수원시 외,검사관련 응용프로그램 개발직 C# C++ Python,https://www.jobkorea.co.kr/Recruit/GI_Read/40595658?Oem_Code=C1&logpath=1&stext=python&listno=80
디비디스커버코리아,서울 영등포구,Python개발자/Machine Vision/이미지분석/Text 분석,https://www.jobkorea.co.kr/Recruit/GI_Read/40578941?Oem_Code=C1&logpath=1&stext=python&listno=81
㈜네오넥스,서울 강남구,"글로벌 거래소 플랫폼 개발자 채용 (Java Spring, Python, DevOps)",https://www.jobkorea.co.kr/Recruit/GI_Read/40579142?Oem_Code=C1&logpath=1&stext=python&listno=82
㈜에스에프테크놀로지,서울 금천구,"웹 자바, 파이썬 경력  개발자 구인(경력 및 신입)",https://www.jobkorea.co.kr/Recruit/GI_Read/40575223?Oem_Code=C1&logpath=1&stext=python&listno=83
㈜한국아이티전문학원,충북 청주시,"프로그래밍(JAVA, Python) / 디자인 / OA 분야 시간강사 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/40572975?Oem_Code=C1&logpath=1&stext=python&listno=84
㈜아이티존,대전 유성구,"[경력&신입]빅데이터솔루션개발-Python,Java(정규직)",https://www.jobkorea.co.kr/Recruit/GI_Read/40564010?Oem_Code=C1&logpath=1&stext=python&listno=85
기술좋은직업전문학교,부산 북구 외,[국비무료] 취업연계 교육(빅데이터&자바&파이썬),https://www.jobkorea.co.kr/Recruit/GI_Read/40559762?Oem_Code=C1&logpath=1&stext=python&listno=86
